file,subset,seed,load_f1,real_f1,tn,tp,fn,fp,fnr,rec,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.05_7748.txt,0.05,7748.txt,0.884615384615385,0.884615384615385,80,23,4,2,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.05_8006.txt,0.05,8006.txt,0.923076923076923,0.923076923076923,81,24,3,1,0.111111111111111,0.888888888888889,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.05_8615.txt,0.05,8615.txt,0.905660377358491,0.905660377358491,80,24,3,2,0.111111111111111,0.888888888888889,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.05_9222.txt,0.05,9222.txt,0.888888888888889,0.888888888888889,79,24,3,3,0.111111111111111,0.888888888888889,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.05_9352.txt,0.05,9352.txt,0.905660377358491,0.905660377358491,80,24,3,2,0.111111111111111,0.888888888888889,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.05_9702.txt,0.05,9702.txt,0.981132075471698,0.981132075471698,82,26,1,0,0.037037037037037,0.962962962962963,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.05_9800.txt,0.05,9800.txt,0.884615384615385,0.884615384615385,80,23,4,2,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.1_1026.txt,0.1,1026.txt,0.84,0.84,80,21,6,2,0.222222222222222,0.777777777777778,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.1_1258.txt,0.1,1258.txt,0.943396226415094,0.943396226415094,81,25,2,1,0.0740740740740741,0.925925925925926,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.1_1493.txt,0.1,1493.txt,0.905660377358491,0.905660377358491,80,24,3,2,0.111111111111111,0.888888888888889,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.1_1784.txt,0.1,1784.txt,0.901960784313726,0.901960784313726,81,23,4,1,0.148148148148148,0.851851851851852,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.1_2328.txt,0.1,2328.txt,0.923076923076923,0.923076923076923,81,24,3,1,0.111111111111111,0.888888888888889,,
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/iTunes-Amazon/experiment/non-imputed_iTuneAmazon/testing_file_0.1_2821.txt,0.1,2821.txt,0.909090909090909,0.909090909090909,79,25,2,3,0.0740740740740741,0.925925925925926,,
